rank,athlete,country,time,time_sec,sb,dnf,dob,age,sex,olympic,lockdown,prior_attend,case_pp,gdp2016,gdp2017,gdp2018,gdp2019,gdp2020,continent
19,Ayuko Suzuki,Japan,2H 33M 14S,9194,1,0,1991-10-08,29,Women,Tokyo2020,0,0,0.006781696875160751,5003680000000,4930840000000,5036890000000,5148780000000,4975420000000,Asia
20,Neheng Khatala,Lesotho,2H 33M 15S,9195,0,0,1992-07-02,29,Women,Tokyo2020,1,0,0.005918538061815323,2114323794,2306843529,2514146888,2366213069,1844510138,Africa
21,Matea Parlov Koštro,Croatia,2H 33M 18S,9198,1,0,1992-06-02,29,Women,Tokyo2020,1,0,0.08821080621289523,51601147666,55481644098,61375222347,60752588976,55966581780,Europe
22,Carolina Wikström,Sweden,2H 33M 19S,9199,1,0,1993-09-04,27,Women,Tokyo2020,0,0,0.10855646002136789,515655000000,541019000000,555455000000,533880000000,541064000000,Europe
23,Ellie Pashley,Australia,2H 33M 39S,9219,1,0,1988-12-10,32,Women,Tokyo2020,1,0,0.0012797479938883804,1208850000000,1329190000000,1432880000000,1396570000000,1330900000000,Oceania
24,Failuna Abdi Matanga,Tanzania,2H 33M 58S,9238,1,0,1992-10-28,28,Women,Tokyo2020,0,0,8.52107987092757e-6,49774021003,53320625959,57003713748,61136873747,62409748427,Africa
25,Fionnuala McCormack,Ireland,2H 34M 9S,9249,1,0,1984-09-24,36,Women,Tokyo2020,1,1,0.058556287056006365,298725000000,334602000000,384854000000,399122000000,425889000000,Europe
26,Lisa Jane Weightman,Australia,2H 34M 19S,9259,1,0,1979-01-16,42,Women,Tokyo2020,1,1,0.0012797479938883804,1208850000000,1329190000000,1432880000000,1396570000000,1330900000000,Oceania
27,Gladys Tejeda,Peru,2H 34M 21S,9261,1,0,1985-09-30,35,Women,Tokyo2020,1,1,0.06367620423800353,191896000000,211007000000,222575000000,228471000000,202014000000,South America
28,Mieke Gorissen,Belgium,2H 34M 24S,9264,0,0,1982-11-29,38,Women,Tokyo2020,1,0,0.09677157756863718,475740000000,501523000000,543411000000,533255000000,515332000000,Europe
29,Elena Loyo,Spain,2H 34M 38S,9278,1,0,1983-01-11,38,Women,Tokyo2020,1,0,0.09088392090280903,1232080000000,1309300000000,1420300000000,1393050000000,1281480000000,Europe
30,Carla Salomé Rocha,Portugal,2H 34M 52S,9292,1,0,1990-04-25,31,Women,Tokyo2020,1,0,0.09250476648980892,206286000000,220811000000,242195000000,239511000000,231227000000,Europe
31,Katharina Steinruck,Germany,2H 35M 0S,9300,0,0,1989-08-22,31,Women,Tokyo2020,1,0,0.04519780649230953,3467500000000,3681730000000,3975350000000,3888330000000,3846410000000,Europe
32,Giovanna Epis,Italy,2H 35M 9S,9309,1,0,1988-10-11,32,Women,Tokyo2020,1,0,0.07115883099002564,1875800000000,1956950000000,2091120000000,2004910000000,1886450000000,Europe
33,Honami Maeda,Japan,2H 35M 28S,9328,0,0,1996-07-17,25,Women,Tokyo2020,0,0,0.006781696875160751,5003680000000,4930840000000,5036890000000,5148780000000,4975420000000,Asia
34,Choi Kyung-sun,South Korea,2H 35M 33S,9333,1,0,1992-03-16,29,Women,Tokyo2020,0,0,0.0036227025501849716,1500110000000,1623900000000,1724850000000,1646740000000,1630530000000,Asia
35,Aleksandra Lisowska,Poland,2H 35M 33S,9333,0,0,1990-12-12,30,Women,Tokyo2020,1,0,0.0761452711544404,472630000000,526509000000,587409000000,595862000000,594165000000,Europe
36,Darya Maslova,Kyrgyzstan,2H 35M 35S,9335,1,0,1995-05-06,26,Women,Tokyo2020,1,0,0.023585759521755265,6813092066,7702934800,8271106196,8871019823,7735976613,Asia
37,Marta Galimany,Spain,2H 35M 39S,9339,1,0,1985-10-05,35,Women,Tokyo2020,1,0,0.09088392090280903,1232080000000,1309300000000,1420300000000,1393050000000,1281480000000,Europe
38,Susan Jeptooo Kipsang,France,2H 36M 29S,9389,1,0,1987-03-07,34,Women,Tokyo2020,1,0,0.0918954395032031,2471290000000,2588740000000,2789590000000,2728870000000,2630320000000,Africa
39,Stephanie Davis,Great Britain,2H 36M 33S,9393,0,0,1990-08-27,30,Women,Tokyo2020,1,0,0.08288519972393721,2693250000000,2662480000000,2857320000000,2830810000000,2707740000000,Europe
40,Jovana de la Cruz,Peru,2H 36M 38S,9398,0,0,1992-07-12,29,Women,Tokyo2020,1,1,0.06367620423800353,191896000000,211007000000,222575000000,228471000000,202014000000,South America
41,Rosa Chacha,Ecuador,2H 36M 44S,9404,0,0,1982-12-08,38,Women,Tokyo2020,1,1,0.027193922142757548,99937696000,104296000000,107562000000,108108000000,98808010000,South America
42,Yeheniya Prokofyeva,Ukraine,2H 36M 47S,9407,1,0,1995-06-05,26,Women,Tokyo2020,1,0,0.05310176973353697,93355993629,112190000000,130902000000,153930000000,155582000000,Europe
43,Nazret Weldu,Eritrea,2H 37M 1S,9421,0,0,1990-01-01,31,Women,Tokyo2020,1,0,0.0018271911419578072,NA,NA,NA,NA,NA,Africa
44,Andrea Deelstra,Netherlands,2H 37M 5S,9425,1,0,1985-03-06,36,Women,Tokyo2020,1,1,0.10831664757596977,783528000000,831810000000,913597000000,910194000000,913865000000,Europe
45,Bayartsogtyn Mönkhzayaa,Mongolia,2H 37M 8S,9428,1,0,1993-10-10,27,Women,Tokyo2020,1,0,0.04653002234090191,11186734674,11425755280,13108769496,13996719329,13137128659,Asia
46,Zhanna Mamazhanova,Kazakhstan,2H 37M 42S,9462,0,0,1994-01-26,27,Women,Tokyo2020,1,0,0.030637267759463894,137278000000,166806000000,179340000000,181667000000,169835000000,Asia
47,Zhang Deshun,China,2H 37M 45S,9465,0,0,1996-02-21,25,Women,Tokyo2020,1,0,6.553293262407884e-5,11233300000000,12310400000000,13894800000000,14279900000000,14722700000000,Asia
48,Maor Tiyouri,Israel,2H 37M 52S,9472,0,0,1990-08-13,30,Women,Tokyo2020,1,1,0.0990101023148062,318617000000,352668000000,370456000000,394652000000,401954000000,Asia
49,Hanne Verbruggen,Belgium,2H 38M 3S,9483,1,0,1993-05-27,28,Women,Tokyo2020,1,0,0.09677157756863718,475740000000,501523000000,543411000000,533255000000,515332000000,Europe
50,Nina Savina,Belarus,2H 38M 41S,9521,1,0,1993-07-21,28,Women,Tokyo2020,1,0,0.046316978754346476,47722657821,54726595249,60031262269,64409647194,60258239056,Europe
51,Martina Strähl,Switzerland,2H 39M 25S,9565,1,0,1987-05-07,34,Women,Tokyo2020,1,0,0.08225400589604301,695601000000,704479000000,735539000000,731767000000,752248000000,Europe
52,Marcela Joglová,Czech Republic,2H 39M 29S,9569,0,0,1987-07-27,34,Women,Tokyo2020,1,0,0.1561243636416608,196272000000,218629000000,248950000000,252498000000,245349000000,Europe
53,Bojana Bjeljac,Croatia,2H 39M 32S,9572,1,0,1989-04-10,32,Women,Tokyo2020,1,0,0.08821080621289523,51601147666,55481644098,61375222347,60752588976,55966581780,Europe
54,Lilia Fisikovici,Moldova,2H 39M 59S,9599,1,0,1989-03-29,32,Women,Tokyo2020,1,0,0.06404743920556534,8071480541,9669759987,11456728401,11968699006,11914040905,Europe
55,Angie Orjuela,Colombia,2H 40M 4S,9604,1,0,1989-05-09,32,Women,Tokyo2020,1,1,0.09222295654468013,282825000000,311884000000,334198000000,323430000000,271347000000,South America
56,Rkia El Moukim,Morocco,2H 40M 10S,9610,1,0,1988-02-22,33,Women,Tokyo2020,1,0,0.015381994495992177,103312000000,109683000000,118096000000,119700000000,112871000000,Africa
57,Ahn Seul-ki,South Korea,2H 41M 11S,9671,1,0,1992-05-29,29,Women,Tokyo2020,0,1,0.0036227025501849716,1500110000000,1623900000000,1724850000000,1646740000000,1630530000000,Asia
58,Tereza Hrochová,Czech Republic,2H 42M 25S,9745,0,0,1996-02-24,25,Women,Tokyo2020,1,0,0.1561243636416608,196272000000,218629000000,248950000000,252498000000,245349000000,Europe
59,Angelika Mach,Poland,2H 42M 26S,9746,0,0,1991-09-07,29,Women,Tokyo2020,1,0,0.0761452711544404,472630000000,526509000000,587409000000,595862000000,594165000000,Europe
60,Andrea Bonilla,Ecuador,2H 43M 30S,9810,1,0,1986-12-05,34,Women,Tokyo2020,1,0,0.027193922142757548,99937696000,104296000000,107562000000,108108000000,98808010000,South America
61,Marcela Cristina Gómez,Argentina,2H 44M 9S,9849,1,0,1984-02-19,37,Women,Tokyo2020,1,0,0.10647789062239156,557531000000,643629000000,517627000000,445445000000,383067000000,South America
62,Li Zhixuan,China,2H 45M 23S,9923,0,0,1994-03-23,27,Women,Tokyo2020,1,0,6.553293262407884e-5,11233300000000,12310400000000,13894800000000,14279900000000,14722700000000,Asia
63,Jill Holterman,Netherlands,2H 45M 27S,9927,0,0,1991-09-11,29,Women,Tokyo2020,1,0,0.10831664757596977,783528000000,831810000000,913597000000,910194000000,913865000000,Europe
64,Úrsula Sánchez,Mexico,2H 45M 45S,9945,1,0,1987-09-15,33,Women,Tokyo2020,1,0,0.02120424545813352,1078490000000,1158910000000,1222350000000,1268870000000,1076160000000,North America
65,Daniela Torres Huerta,Mexico,2H 47M 15S,10035,0,0,1994-07-23,27,Women,Tokyo2020,1,0,0.02120424545813352,1078490000000,1158910000000,1222350000000,1268870000000,1076160000000,North America
66,Lonah Chemtai Salpeter,Israel,2H 48M 31S,10111,0,0,1988-12-12,32,Women,Tokyo2020,1,0,0.0990101023148062,318617000000,352668000000,370456000000,394652000000,401954000000,Asia
67,Bai Li,China,2H 49M 21S,10161,0,0,1996-03-30,25,Women,Tokyo2020,1,0,6.553293262407884e-5,11233300000000,12310400000000,13894800000000,14279900000000,14722700000000,Asia
68,Stephanie Twell,Great Britain,2H 53M 26S,10406,1,0,1989-08-17,31,Women,Tokyo2020,1,0,0.08288519972393721,2693250000000,2662480000000,2857320000000,2830810000000,2707740000000,Europe
69,Juliet Chekwel,Uganda,2H 53M 40S,10420,1,0,1990-05-25,31,Women,Tokyo2020,1,0,0.0019972234975186376,29078589751,30744473840,32912338571,35170037381,37372032558,Africa
70,Catarina Ribeiro,Portugal,2H 55M 1S,10501,1,0,1990-05-31,31,Women,Tokyo2020,1,0,0.09250476648980892,206286000000,220811000000,242195000000,239511000000,231227000000,Europe
71,Jess Piasecki,Great Britain,2H 55M 39S,10539,1,0,1990-04-18,31,Women,Tokyo2020,1,0,0.08288519972393721,2693250000000,2662480000000,2857320000000,2830810000000,2707740000000,Europe
72,Sharon Firisua,Solomon Islands,3H 2M 10S,10930,1,0,1993-12-15,27,Women,Tokyo2020,1,0,3.0634533083764006e-5,1378551118,1483758907,1574599183,1570215577,1551245526,Oceania
73,Dayna Pidhoresky,Canada,3H 3M 10S,10990,1,0,1986-11-18,34,Women,Tokyo2020,1,0,0.03745756300222757,1527990000000,1649270000000,1721850000000,1741580000000,1644040000000,North America
NA,Andrea Ramírez Limón,Mexico,NA,NA,NA,1,1992-12-05,28,Women,Tokyo2020,1,0,0.02120424545813352,1078490000000,1158910000000,1222350000000,1268870000000,1076160000000,North America
NA,Ruth Chepng'etich,Kenya,NA,NA,NA,1,1994-08-08,26,Women,Tokyo2020,1,0,0.00362853418087344,69188755364,78965004656,87778582964,95503088538,98842939649,Africa
NA,Laura Méndez Esquer,Spain,NA,NA,NA,1,1988-11-06,32,Women,Tokyo2020,1,0,0.09088392090280903,1232080000000,1309300000000,1420300000000,1393050000000,1281480000000,Europe
NA,Birhane Dibaba,Ethiopia,NA,NA,NA,1,1993-09-11,27,Women,Tokyo2020,1,0,0.0024190703937959205,74296618481,81770791971,84269348327,95912590628,107645000000,Africa
NA,Tejitu Daba,Bahrain,NA,NA,NA,1,1991-08-20,29,Women,Tokyo2020,1,0,0.15763262797054273,32234973404,35473776596,37652500000,38474521277,NA,Asia
NA,Kokob Tesfagabriel,Eritrea,NA,NA,NA,1,1994-06-04,27,Women,Tokyo2020,1,0,0.0018271911419578072,NA,NA,NA,NA,NA,Africa
NA,Viktoriia Kaliuzhna,Ukraine,NA,NA,NA,1,1994-07-11,27,Women,Tokyo2020,1,0,0.05310176973353697,93355993629,112190000000,130902000000,153930000000,155582000000,Europe
NA,Irvette van Zyl,South Africa,NA,NA,NA,1,1987-07-05,34,Women,Tokyo2020,1,1,0.03949387518085461,296357000000,349554000000,368289000000,351432000000,301924000000,Africa
NA,Sara Moreira,Portugal,NA,NA,NA,1,1985-10-17,35,Women,Tokyo2020,1,1,0.09250476648980892,206286000000,220811000000,242195000000,239511000000,231227000000,Europe
NA,Aliphine Tuliamuk,United States,NA,NA,NA,1,1989-04-05,32,Women,Tokyo2020,1,0,0.10431821030985437,18745100000000,19543000000000,20611900000000,21433200000000,20936600000000,North America
NA,Aoife Cooke,Ireland,NA,NA,NA,1,1986-09-13,34,Women,Tokyo2020,1,0,0.058556287056006365,298725000000,334602000000,384854000000,399122000000,425889000000,Europe
NA,Darya Mykhaylova,Ukraine,NA,NA,NA,1,1989-04-29,32,Women,Tokyo2020,1,0,0.05310176973353697,93355993629,112190000000,130902000000,153930000000,155582000000,Europe
NA,Zeineba Yimer,Ethiopia,NA,NA,NA,1,1998-06-17,23,Women,Tokyo2020,1,0,0.0024190703937959205,74296618481,81770791971,84269348327,95912590628,107645000000,Africa
NA,Eva Vrabcová-Nývltová,Czech Republic,NA,NA,NA,1,1986-02-06,35,Women,Tokyo2020,1,1,0.1561243636416608,196272000000,218629000000,248950000000,252498000000,245349000000,Europe
NA,Meryem Erdoğan,Turkey,NA,NA,NA,1,1990-04-24,31,Women,Tokyo2020,1,1,0.06597064916546919,869693000000,858996000000,778377000000,761428000000,720101000000,Asia
1,Eliud Kipchoge,Kenya,2H 8M 44S,7724,0,0,1984-11-05,31,Men,Rio2016,1,0,0.00362853418087344,69188755364,78965004656,87778582964,95503088538,98842939649,Africa
2,Feyisa Lilesa,Ethiopia,2H 9M 54S,7794,0,0,1990-02-01,26,Men,Rio2016,1,0,0.0024190703937959205,74296618481,81770791971,84269348327,95912590628,107645000000,Africa
3,Galen Rupp,United States,2H 10M 5S,7805,1,0,1986-05-08,30,Men,Rio2016,1,0,0.10431821030985437,18745100000000,19543000000000,20611900000000,21433200000000,20936600000000,North America
4,Ghirmay Ghebreslassie,Eritrea,2H 11M 4S,7864,0,0,1995-11-14,20,Men,Rio2016,1,0,0.0018271911419578072,NA,NA,NA,NA,NA,Africa
5,Alphonce Simbu,Tanzania,2H 11M 15S,7875,0,0,1992-02-14,24,Men,Rio2016,0,0,8.52107987092757e-6,49774021003,53320625959,57003713748,61136873747,62409748427,Africa
6,Jared Ward,United States,2H 11M 30S,7890,1,0,1988-09-09,27,Men,Rio2016,1,0,0.10431821030985437,18745100000000,19543000000000,20611900000000,21433200000000,20936600000000,North America
7,Tadesse Abraham,Switzerland,2H 11M 42S,7902,0,0,1982-08-12,34,Men,Rio2016,1,0,0.08225400589604301,695601000000,704479000000,735539000000,731767000000,752248000000,Europe
8,Munyo Mutai,Uganda,2H 11M 49S,7909,1,0,1992-10-22,23,Men,Rio2016,1,0,0.0019972234975186376,29078589751,30744473840,32912338571,35170037381,37372032558,Africa
9,Callum Hawkins,Great Britain,2H 11M 52S,7912,0,0,1992-06-22,24,Men,Rio2016,1,0,0.08288519972393721,2693250000000,2662480000000,2857320000000,2830810000000,2707740000000,Europe
10,Eric Gillis,Canada,2H 12M 29S,7949,0,0,1980-03-08,36,Men,Rio2016,1,0,0.03745756300222757,1527990000000,1649270000000,1721850000000,1741580000000,1644040000000,North America
11,Abdi Nageeye,Netherlands,2H 13M 1S,7981,0,0,1989-03-02,27,Men,Rio2016,1,0,0.10831664757596977,783528000000,831810000000,913597000000,910194000000,913865000000,Europe
12,Mumin Gala,Djibouti,2H 13M 4S,7984,1,0,1986-09-06,29,Men,Rio2016,1,0,0.011769206944925214,2603554907,2751461056,3012820410,3324634256,3384404260,Africa
13,Lemi Berhanu,Ethiopia,2H 13M 29S,8009,0,0,1994-09-13,21,Men,Rio2016,1,0,0.0024190703937959205,74296618481,81770791971,84269348327,95912590628,107645000000,Africa
14,Stephen Kiprotich,Uganda,2H 13M 32S,8012,0,0,1989-02-27,27,Men,Rio2016,1,0,0.0019972234975186376,29078589751,30744473840,32912338571,35170037381,37372032558,Africa
15,Paulo Roberto Paula,Brazil,2H 13M 56S,8036,1,0,1979-07-08,37,Men,Rio2016,1,0,0.09185060822219354,1795700000000,2063510000000,1916950000000,1877810000000,1444730000000,South America
16,Satoru Sasaki,Japan,2H 13M 57S,8037,0,0,1985-10-16,30,Men,Rio2016,0,0,0.006781696875160751,5003680000000,4930840000000,5036890000000,5148780000000,4975420000000,Asia
17,Kaan Kigen Özbilen,Turkey,2H 14M 11S,8051,0,0,1986-01-15,30,Men,Rio2016,1,0,0.06597064916546919,869693000000,858996000000,778377000000,761428000000,720101000000,Asia
18,Bayron Piedra,Ecuador,2H 14M 12S,8052,1,0,1982-08-19,34,Men,Rio2016,1,0,0.027193922142757548,99937696000,104296000000,107562000000,108108000000,98808010000,South America
19,Sondre Nordstad Moen,Norway,2H 14M 17S,8057,0,0,1991-01-12,25,Men,Rio2016,1,0,0.024945390742564157,368827000000,398394000000,437000000000,405510000000,362522000000,Europe
20,Oleksandr Sitkovskyy,Ukraine,2H 14M 24S,8064,0,0,1978-06-09,38,Men,Rio2016,1,0,0.05310176973353697,93355993629,112190000000,130902000000,153930000000,155582000000,Europe
21,Amanuel Mesel,Eritrea,2H 14M 37S,8077,0,0,1990-12-29,25,Men,Rio2016,1,0,0.0018271911419578072,NA,NA,NA,NA,NA,Africa
22,Koen Naert,Belgium,2H 14M 53S,8093,0,0,1989-09-03,26,Men,Rio2016,1,0,0.09677157756863718,475740000000,501523000000,543411000000,533255000000,515332000000,Europe
23,Reid Coolsaet,Canada,2H 14M 58S,8098,0,0,1979-07-29,37,Men,Rio2016,1,0,0.03745756300222757,1527990000000,1649270000000,1721850000000,1741580000000,1644040000000,North America
24,Lusapho April,South Africa,2H 15M 24S,8124,0,0,1982-05-24,34,Men,Rio2016,1,0,0.03949387518085461,296357000000,349554000000,368289000000,351432000000,301924000000,Africa
25,Thanackal Gopi,India,2H 15M 25S,8125,1,0,1988-05-24,28,Men,Rio2016,1,0,0.022676059830056265,2294800000000,2651470000000,2701110000000,2870500000000,2622980000000,Asia
26,Kheta Ram,India,2H 15M 26S,8126,1,0,1986-09-20,29,Men,Rio2016,1,0,0.022676059830056265,2294800000000,2651470000000,2701110000000,2870500000000,2622980000000,Asia
27,Pak Chol,North Korea,2H 15M 27S,8127,0,0,1990-11-08,25,Men,Rio2016,1,0,NA,NA,NA,NA,NA,NA,Asia
28,Evans Kiplagat Barkowet,Azerbaijan,2H 15M 31S,8131,0,0,1988-03-05,28,Men,Rio2016,1,0,0.03346169683430851,37867518957,40865558912,47112941176,48174235294,42607176471,Asia
29,Dong Guojian,China,2H 15M 32S,8132,0,0,1987-03-16,29,Men,Rio2016,1,0,6.553293262407884e-5,11233300000000,12310400000000,13894800000000,14279900000000,14722700000000,Asia
30,Ihor Olefirenko,Ukraine,2H 15M 36S,8136,0,0,1990-03-14,26,Men,Rio2016,1,0,0.05310176973353697,93355993629,112190000000,130902000000,153930000000,155582000000,Europe
31,Liam Adams,Australia,2H 16M 12S,8172,0,0,1986-09-04,29,Men,Rio2016,1,0,0.0012797479938883804,1208850000000,1329190000000,1432880000000,1396570000000,1330900000000,Oceania
32,Paul Pollock,Ireland,2H 16M 24S,8184,0,0,1986-06-25,30,Men,Rio2016,1,0,0.058556287056006365,298725000000,334602000000,384854000000,399122000000,425889000000,Europe
33,Meb Keflezighi,United States,2H 16M 46S,8206,0,0,1975-05-05,41,Men,Rio2016,1,0,0.10431821030985437,18745100000000,19543000000000,20611900000000,21433200000000,20936600000000,North America
34,Anuradha Indrajith Cooray,Sri Lanka,2H 17M 6S,8226,0,0,1978-03-24,38,Men,Rio2016,1,0,0.013603633264450748,82401038710,87421762729,87954272082,83975584254,80706600229,Asia
35,Abdi Hakin Ulad,Denmark,2H 17M 6S,8226,0,0,1991-06-14,25,Men,Rio2016,1,0,0.05318668343951129,313116000000,332121000000,356841000000,347561000000,356085000000,Europe
36,Suehiro Ishikawa,Japan,2H 17M 8S,8228,0,0,1979-09-27,36,Men,Rio2016,0,0,0.006781696875160751,5003680000000,4930840000000,5036890000000,5148780000000,4975420000000,Asia
37,Marius Ionescu,Romania,2H 17M 27S,8247,0,0,1984-12-18,31,Men,Rio2016,1,0,0.056241339263223084,188129000000,211695000000,241457000000,249697000000,248716000000,Europe
38,Ruggero Pertile,Italy,2H 17M 30S,8250,0,0,1974-08-08,42,Men,Rio2016,1,0,0.07115883099002564,1875800000000,1956950000000,2091120000000,2004910000000,1886450000000,Europe
39,Artur Kozłowski,Poland,2H 17M 34S,8254,0,0,1985-01-19,31,Men,Rio2016,1,0,0.0761452711544404,472630000000,526509000000,587409000000,595862000000,594165000000,Europe
40,Nicolas Cuestas,Uruguay,2H 17M 44S,8264,0,0,1986-12-08,29,Men,Rio2016,0,0,0.10936697097958475,57236652490,64233966861,64515038268,61231149881,53628827440,South America
41,Pardon Ndhlovu,Zimbabwe,2H 17M 48S,8268,0,0,1987-08-23,28,Men,Rio2016,1,0,0.006285504867244521,20548678100,19015327919,19523622342,16932434839,16768513443,Africa
42,Víctor Aravena,Chile,2H 17M 49S,8269,0,0,1990-02-05,26,Men,Rio2016,1,0,0.08394514832935757,250440000000,277035000000,297572000000,279385000000,252940000000,South America
43,Saidi Juma Makula,Tanzania,2H 17M 49S,8269,0,0,1994-08-01,22,Men,Rio2016,0,0,8.52107987092757e-6,49774021003,53320625959,57003713748,61136873747,62409748427,Africa
44,Florent Caelen,Belgium,2H 17M 59S,8279,0,0,1989-03-01,27,Men,Rio2016,1,0,0.09677157756863718,475740000000,501523000000,543411000000,533255000000,515332000000,Europe
45,Raul Machacuay,Peru,2H 18M 0S,8280,0,0,1983-02-18,33,Men,Rio2016,1,0,0.06367620423800353,191896000000,211007000000,222575000000,228471000000,202014000000,South America
46,Richer Pérez,Cuba,2H 18M 5S,8285,0,0,1986-02-20,30,Men,Rio2016,1,0,0.027245472080981645,91370000000,96851000000,100050000000,103131000000,NA,North America
47,Michael Shelley,Australia,2H 18M 6S,8286,0,0,1983-10-10,32,Men,Rio2016,1,0,0.0012797479938883804,1208850000000,1329190000000,1432880000000,1396570000000,1330900000000,Oceania
48,Ihor Russ,Ukraine,2H 18M 19S,8299,0,0,1988-09-08,27,Men,Rio2016,1,0,0.05310176973353697,93355993629,112190000000,130902000000,153930000000,155582000000,Europe
49,Carles Castillejo,Spain,2H 18M 34S,8314,0,0,1978-08-18,38,Men,Rio2016,1,0,0.09088392090280903,1232080000000,1309300000000,1420300000000,1393050000000,1281480000000,Europe
50,Ernesto Andres Zamora,Uruguay,2H 18M 36S,8316,1,0,1983-04-13,33,Men,Rio2016,0,0,0.10936697097958475,57236652490,64233966861,64515038268,61231149881,53628827440,South America
51,Ercan Muslu,Turkey,2H 18M 40S,8320,0,0,1988-12-01,27,Men,Rio2016,1,0,0.06597064916546919,869693000000,858996000000,778377000000,761428000000,720101000000,Asia
52,Cristhian Pacheco,Peru,2H 18M 41S,8321,0,0,1993-05-26,23,Men,Rio2016,1,0,0.06367620423800353,191896000000,211007000000,222575000000,228471000000,202014000000,South America
53,Mariano Mastromarino,Argentina,2H 18M 44S,8324,0,0,1982-09-15,33,Men,Rio2016,1,0,0.10647789062239156,557531000000,643629000000,517627000000,445445000000,383067000000,South America
54,Daniel Vargas,Mexico,2H 18M 51S,8331,0,0,1984-03-06,32,Men,Rio2016,1,0,0.02120424545813352,1078490000000,1158910000000,1222350000000,1268870000000,1076160000000,North America
55,Philipp Pflieger,Germany,2H 18M 56S,8336,0,0,1987-07-16,29,Men,Rio2016,1,0,0.04519780649230953,3467500000000,3681730000000,3975350000000,3888330000000,3846410000000,Europe
